"customer_num" "arv.time" "wt.time" "st.time" "sp.time" "l.time"
"56" 56 6107.64311452707 3223.88661865656 9331.52973318362 58.9223494660109 9390.45208264963
"57" 57 6164.09652990599 3226.35555274364 9390.45208264963 68.9370247442275 9459.38910739386
"58" 58 6195.67624629785 3263.712861096 9459.38910739386 180.49671710644 9639.8858245003
"59" 59 6310.38174663477 3329.50407786553 9639.8858245003 285.220895431714 9925.10671993201
"60" 60 6322.90166050933 3602.20505942268 9925.10671993201 385.832432627423 10310.9391525594
"61" 61 6585.50812072277 3725.43103183667 10310.9391525594 288.970855645613 10599.910008205
"62" 62 6671.10814469519 3928.80186350986 10599.910008205 14.7723270859569 10614.682335291
"63" 63 6809.72808314567 3804.95425214534 10614.682335291 109.482906293124 10724.1652415841
"64" 64 6841.43849089821 3882.72675068592 10724.1652415841 155.341708708443 10879.5069502926
"65" 65 6852.08005511508 4027.42689517749 10879.5069502926 118.877001972869 10998.3839522654
"66" 66 7034.2304135882 3964.15353867725 10998.3839522654 310.808954855491 11309.1929071209
"67" 67 7090.23126665732 4218.96164046361 11309.1929071209 255.985213465766 11565.1781205867
"68" 68 7129.43967186144 4435.73844872526 11565.1781205867 443.350801482463 12008.5289220692
"69" 69 7159.30997621498 4849.21894585419 12008.5289220692 64.2606927517512 12072.7896148209
"70" 70 7221.52511758959 4851.26449723132 12072.7896148209 76.4030540362 12149.1926688571
"71" 71 7240.77080015323 4908.42186870389 12149.1926688571 257.808330235901 12407.000999093
"72" 72 7351.15143034333 5055.84956874969 12407.000999093 18.7598504902945 12425.7608495833
"73" 73 7355.3457727442 5070.41507683911 12425.7608495833 9.83785601332784 12435.5987055966
"74" 74 7400.48629839665 5035.11240719999 12435.5987055966 47.2552542369297 12482.8539598336
"75" 75 7561.45240076074 4921.40155907283 12482.8539598336 58.3835825326047 12541.2375423662
"76" 76 7873.37013600932 4667.86740635685 12541.2375423662 10.7026554364711 12551.9401978026
"77" 77 8054.38162797869 4497.55856982395 12551.9401978026 67.327257514397 12619.267455317
"78" 78 8222.2458997435 4397.02155557354 12619.267455317 129.184234169292 12748.4516894863
"79" 79 8271.33927739571 4477.11241209062 12748.4516894863 307.900064592493 13056.3517540788
"80" 80 8351.71511861842 4704.63663546041 13056.3517540788 358.303819283621 13414.6555733624
"81" 81 8422.34323795299 4992.31233540945 13414.6555733624 148.692785294218 13563.3483586567
"82" 82 8610.5521118109 4952.79624684576 13563.3483586567 418.181967973376 13981.53032663
"83" 83 8703.70875352759 5277.82157310246 13981.53032663 42.179199133814 14023.7095257639
"84" 84 8708.59745709339 5315.11206867047 14023.7095257639 120.278051840141 14143.987577604
"85" 85 8739.48702673234 5404.50055087166 14143.987577604 172.409323502221 14316.3969011062
"86" 86 8978.57445723705 5337.82244386917 14316.3969011062 474.917667746211 14791.3145688524
"87" 87 9003.8561509703 5787.45841788213 14791.3145688524 39.1667807686775 14830.4813496211
"88" 88 9055.8410605569 5774.6402890642 14830.4813496211 151.937721252943 14982.419070874
"89" 89 9108.68738915841 5873.73168171564 14982.419070874 1783.08350863957 16765.5025795136
"90" 90 9111.47573695211 7654.02684256151 16765.5025795136 168.815444821491 16934.3180243351
"91" 91 9153.26052964358 7781.05749469153 16934.3180243351 146.876261263975 17081.1942855991
"92" 92 9213.87261184862 7867.32167375047 17081.1942855991 74.475507152923 17155.669792752
"93" 93 9286.21003375386 7869.45975899814 17155.669792752 80.9541896637529 17236.6239824158
"94" 94 9321.47615228777 7915.14783012798 17236.6239824158 21.401936688853 17258.0259191046
"95" 95 9377.21493258139 7880.81098652322 17258.0259191046 199.932261745565 17457.9581808502
"96" 96 9380.79384586772 8077.16433498246 17457.9581808502 26.3392610102892 17484.2974418605
"97" 97 9402.31583417391 8081.98160768655 17484.2974418605 77.0994141686397 17561.3968560291
"98" 98 9543.12912512996 8018.26773089915 17561.3968560291 140.777662926287 17702.1745189554
"99" 99 9584.52111892827 8117.65340002712 17702.1745189554 183.503785051294 17885.6783040067
"100" 100 9695.35033013593 8190.32797387076 17885.6783040067 3.20143120363355 17888.8797352103
"101" 101 9791.97233825933 8096.90739695098 17888.8797352103 104.429405070841 17993.3091402812
